genome_record_id	sample_id	biosample_accession	assembly_accession	run_accession	country_iso3	country_name	collection_date_raw	date_lower	date_upper	year	month	quarter	date_resolution	date_month_or_quarter	project_id	project_id_source	source_dataset	source_role	model_denominator_role	genome_candidate	genome_qc_status	genome_observation_eligible	sampling_process_observed	sequencing_success	ct_value	specimen_type	preliminary_lineage_id	lineage_definition_status	published_branch	published_lineage	published_sublineage	ptxP_label	fim3_label	marker_23s_status	duplicate_of_focal	duplicate_group_size	data_freeze_date	provenance_note	local_fasta_path	total_sequence_length	gc_percent	n_contigs	contig_n50	catalog_qc_status	continent	sequence_acquisition	year_numeric	lineage_stratum	time_stratum	rank_hash	selection_reason	tree_role	background_replicate
JPN::SAMEA41297668	SAMEA41297668	SAMEA41297668	RRASM_ERR1775283	ERR1775283	JPN	Japan	2008	2008-01-01	2008-12-31	2008			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.		3845323	67.86	366	20402	ok	Asia	local_fasta	2008.0	ptxP1/fim3-1	2005_2009	03e3fb39a0a44eb8be16a6b92b0edc7899d3b0ad70a9d539cdfa6da0c77caf62	historical_stratified_anchor_cap3_cell_cap90_country	focal	
BEL::SAMEA117989353	SAMEA117989353	SAMEA117989353		ERR14837749	BEL	Belgium	2018-03-26	2018-03-26	2018-03-26	2018	3	1	day	True	PRJEB88325	ena_study_accession	targeted_belgium_france_public_inventory	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	True	True			ptxP3/fim3-2	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-2		ptxP3	fim3-2	23S_rRNA_1	False	1	2026-07-24	project_member_414_of_416_linked_identity_not_in_ENA_fields							Europe	ena_fastq_download	2018.0	ptxP3/fim3-2	2015_2019	0459ff1d320a73f5b057031d496b58ea9929b42b91e25ba627fabacca56aa97e	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41197168	SAMEA41197168	SAMEA41197168		ERR1775149	JPN	Japan	1999	1999-01-01	1999-12-31	1999			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	1999.0	ptxP1/fim3-1	1995_1999	05986fd658daeaeec74c7ef9f68a8eb5ceda61fa38f06cf29d3f1383ac8be371	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41263168	SAMEA41263168	SAMEA41263168		ERR1775237	JPN	Japan	1982	1982-01-01	1982-12-31	1982			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	1982.0	ptxP1/fim3-1	1980_1984	05ba7c7f789776937e411619b34806aa467fad42e6eac74e6557fa7d3ba6c649	historical_stratified_anchor_cap3_cell_cap90_country	focal	
BEL::SAMEA117989425	SAMEA117989425	SAMEA117989425		ERR14837821	BEL	Belgium	2018-10-09	2018-10-09	2018-10-09	2018	10	4	day	True	PRJEB88325	ena_study_accession	targeted_belgium_france_public_inventory	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	True	True			ptxP3/fim3-2	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-2		ptxP3	fim3-2	23S_rRNA_1	False	1	2026-07-24	project_member_414_of_416_linked_identity_not_in_ENA_fields							Europe	ena_fastq_download	2018.0	ptxP3/fim3-2	2015_2019	0642303211def93cb8d24e6baa15d92ce3e6522fe36ea7620db94f58dc574ead	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41211418	SAMEA41211418	SAMEA41211418		ERR1775168	JPN	Japan	1990	1990-01-01	1990-12-31	1990			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	1990.0	ptxP1/fim3-1	1990_1994	06c6f8f945fb96d8d9597dab67fc333a0adddd0fb8d2d2c02a1be1aeb55cd9ea	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMN04875532	SAMN04875532	SAMN04875532	GCA_002083095	SRR4271508;SRR4271509;SRR4271510;SRR4271511	JPN	Japan	1950	1950-01-01	1950-12-31	1950			year	False	PRJNA231221	assembly_metadata	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True			ptxP1/fim3-1	provisional_marker_or_published_annotation	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	MS	False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.		4123505	67.5	1	4123505	ok	Asia	local_fasta	1950.0	ptxP1/fim3-1	1950_1954	06d7366c386b9375217556b7dd2ed3f549366f051563ee4aa1d2330fa29eddc5	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41219668	SAMEA41219668	SAMEA41219668		ERR1775179	JPN	Japan	2003	2003-01-01	2003-12-31	2003			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	2003.0	ptxP1/fim3-1	2000_2004	06ef177b6fd9db8ffbaa23460791b631a169f22b729dda257d360276f794ac1b	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41299168	SAMEA41299168	SAMEA41299168		ERR1775285	JPN	Japan	2008	2008-01-01	2008-12-31	2008			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	2008.0	ptxP1/fim3-1	2005_2009	07065e5c0463a75563c3612332b808656da8c01f7ebe222e6b14d3529f522d36	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41186668	SAMEA41186668	SAMEA41186668		ERR1775135	JPN	Japan	1996	1996-01-01	1996-12-31	1996			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	1996.0	ptxP1/fim3-1	1995_1999	0838a1fb1d6c8c223ba33b99817a08739587c76807546c8ec429e024037d03d9	historical_stratified_anchor_cap3_cell_cap90_country	focal	
FRA::SAMEA751345	SAMEA751345	SAMEA751345	GCA_001205255	ERR028839	FRA	France	1996	1996-01-01	1996-12-31	1996			year	False	PRJEB2274	assembly_metadata	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True				provisional_marker_or_published_annotation							False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.		3742490	67.5	1046	6398	ok	Europe	local_fasta	1996.0	UNKNOWN_LINEAGE	1995_1999	09010f0dd12db5dc717134c8d7ee142ee95cb59e5984a931881dde0d467e3d21	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41205418	SAMEA41205418	SAMEA41205418		ERR1775160	JPN	Japan	1996	1996-01-01	1996-12-31	1996			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	1996.0	ptxP1/fim3-1	1995_1999	09509d92636162fae879a442f51cd13ab679095448a1aa3ccf348c12e5f1bba3	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41307418	SAMEA41307418	SAMEA41307418		ERR1775296	JPN	Japan	2009	2009-01-01	2009-12-31	2009			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	2009.0	ptxP1/fim3-1	2005_2009	095a1f176f9d9baeaf583c12ec33cc81163dbcf1febf19032e0c596971d5d731	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41188918	SAMEA41188918	SAMEA41188918	RRASM_ERR1775138	ERR1775138	JPN	Japan	1999	1999-01-01	1999-12-31	1999			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.		3854648	67.85	378	20918	ok	Asia	local_fasta	1999.0	ptxP3/fim3-1	1995_1999	0b04adbd46f9737b89e83074eabf23037896e269f451b371ff23fb2bc13e859f	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41323168	SAMEA41323168	SAMEA41323168		ERR1775317	JPN	Japan	2012	2012-01-01	2012-12-31	2012			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	2012.0	ptxP3/fim3-1	2010_2014	0b4de6c40565c597bc7dc415cc59fcc1462d61745b96899b2d83783b60677916	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41224918	SAMEA41224918	SAMEA41224918		ERR1775186	JPN	Japan	2004	2004-01-01	2004-12-31	2004			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	2004.0	ptxP1/fim3-1	2000_2004	0d98fe07ad2a9d41cec4c78a4d9f66b383f4044b12a4478116f6442e5c8d5ba2	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41247418	SAMEA41247418	SAMEA41247418		ERR1775216	JPN	Japan	1994	1994-01-01	1994-12-31	1994			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	1994.0	ptxP1/fim3-1	1990_1994	11f6af159b1be57eb6e3ad08b7803f601e31ff7f90bed5ba302eda6b83daf898	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41226418	SAMEA41226418	SAMEA41226418	RRASM_ERR1775188	ERR1775188	JPN	Japan	1992	1992-01-01	1992-12-31	1992			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.		3873610	67.86	416	20407	ok	Asia	local_fasta	1992.0	ptxP1/fim3-1	1990_1994	11fd07b6276713a10ebcf5ca7f81e2a3e6c718193a400868c73a441863b603b5	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41187418	SAMEA41187418	SAMEA41187418		ERR1775136	JPN	Japan	1983	1983-01-01	1983-12-31	1983			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	1983.0	ptxP1/fim3-1	1980_1984	13a1bbf573bd5bb4bd47c0ac8802f04818710a8c1818eac45180990b8d2429b7	historical_stratified_anchor_cap3_cell_cap90_country	focal	
BEL::SAMEA117989308	SAMEA117989308	SAMEA117989308		ERR14837704	BEL	Belgium	2017-09-06	2017-09-06	2017-09-06	2017	9	3	day	True	PRJEB88325	ena_study_accession	targeted_belgium_france_public_inventory	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	True	True			MS-MT28	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1	MS-MT28	ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	project_member_414_of_416_linked_identity_not_in_ENA_fields							Europe	ena_fastq_download	2017.0	MS-MT28	2015_2019	14d9340a662c6bf8fd97c61166482388a275ef952692ccb84400a41870b56cde	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41257168	SAMEA41257168	SAMEA41257168		ERR1775229	JPN	Japan	2011	2011-01-01	2011-12-31	2011			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	2011.0	ptxP3/fim3-1	2010_2014	1627f7e5f509a80f0d45bcd1e95fc7eda4f1b4a3b0b94bb5e2d43af987c86e22	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41278168	SAMEA41278168	SAMEA41278168		ERR1775257	JPN	Japan	2000	2000-01-01	2000-12-31	2000			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP3/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	2000.0	ptxP3/fim3-1	2000_2004	177002e3201d2bf66033cbcdc5b809174629f69fa15be295aeb348716814639e	historical_stratified_anchor_cap3_cell_cap90_country	focal	
BEL::SAMEA117989226	SAMEA117989226	SAMEA117989226		ERR14837622	BEL	Belgium	2015-12-21	2015-12-21	2015-12-21	2015	12	4	day	True	PRJEB88325	ena_study_accession	targeted_belgium_france_public_inventory	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	True	True			MS-MT28	pending_new_phylogeny	Branch_IIb	ptxP3/fim3-1	MS-MT28	ptxP3	fim3-1	23S_rRNA_1	False	1	2026-07-24	project_member_414_of_416_linked_identity_not_in_ENA_fields							Europe	ena_fastq_download	2015.0	MS-MT28	2015_2019	18594e7367d80e10be1a2413a6f3973d71b70b2a5d26def624d27ec427dd1dfb	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41292418	SAMEA41292418	SAMEA41292418		ERR1775276	JPN	Japan	1987	1987-01-01	1987-12-31	1987			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	1987.0	ptxP1/fim3-1	1985_1989	1bc868d55607fbcf680c51a181aa2cf0e6433402a5ec843b7c0f303039d0030e	historical_stratified_anchor_cap3_cell_cap90_country	focal	
FRA::SAMEA751350	SAMEA751350	SAMEA751350	GCA_001208065	ERR028837	FRA	France	1993	1993-01-01	1993-12-31	1993			year	False	PRJEB2274	assembly_metadata	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True			ptxP1/fim3-1	provisional_marker_or_published_annotation	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	other_23S_allele	False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.		3731335	67.5	1110	6091	ok	Europe	local_fasta	1993.0	ptxP1/fim3-1	1990_1994	1c12c1ad77638ccafcf557f7cbc407a77b72976c307f19a2b55235867016eab3	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMEA41250418	SAMEA41250418	SAMEA41250418		ERR1775220	JPN	Japan	2010	2010-01-01	2010-12-31	2010			year	False	PRJEB18624	ena_study_accession	japan_targeted_ena_projects	historical_tree_anchor	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True			ptxP1/fim3-1	pending_new_phylogeny	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	23S_rRNA_1	False	1	2026-07-24	Targeted Japanese historical or recent public project.							Asia	ena_fastq_download	2010.0	ptxP1/fim3-1	2010_2014	1c19cf677ef1daa50d74642812f7f66fa86ca592e38c1bef871322e39cad709c	historical_stratified_anchor_cap3_cell_cap90_country	focal	
JPN::SAMD00549636	DRS259973	SAMD00549636	RRASM_DRR413424	DRR413424	JPN	Japan		2018-01-01	2018-12-31	2018			year	False	PRJDB7578	study_accession	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True			ptxP3/fim3-1	provisional_marker_or_published_annotation	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	MS	False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.		3863268	67.82	322	22500	ok	Asia	local_fasta	2018.0	ptxP3/fim3-1	2015_2019	2031b15f72dbcc039865779eba82d2df801d4293bb8ac3370e69b374cd84141f	historical_stratified_anchor_cap3_cell_cap90_country	focal	
