tree_sample_id	genome_record_id	tree_role	selection_reason	background_replicate	country_iso3	country_name	continent	date_lower	date_upper	date_resolution	year	month	project_id	preliminary_lineage_id	lineage_definition_status	sample_id	biosample_accession	assembly_accession	run_accession	sequence_acquisition	local_fasta_path	fastq_r1	fastq_r2	sequence_input_path	total_sequence_length	gc_percent	n_contigs	contig_n50	catalog_qc_status	uniform_qc_status	tree_include	data_freeze_date	fastq_ftp	fastq_bytes	library_layout	read_count	base_count	study_accession	sample_accession	collection_date	country	fastq_ftp_list	fastq_bytes_list	fastq_total_bytes	source_resolution_status	status	r1_path	r2_path	paired_records	qc_input_type	observed_length	observed_gc_percent	observed_n_fraction	observed_contigs	observed_n50	read_q30_min	uniform_qc_reason	tree_include_after_uniform_qc
AUS__SAMEA751520	AUS::SAMEA751520	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1989-01-01	1989-12-31	year	1989		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751520	SAMEA751520	GCA_001333915	ERR028862	ncbi_assembly_download					3777130	68	806	8010	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3777130	67.71982960607657	0.0009059788781429286	777	8232		contigs	False
AUS__SAMEA751521	AUS::SAMEA751521	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1990-01-01	1990-12-31	year	1990		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751521	SAMEA751521	GCA_001333935	ERR028872	ncbi_assembly_download					3744173	67.5	1001	6434	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3744173	67.54086950576269	0.0024234991278447872	929	6886		contigs	False
AUS__SAMEA751183	AUS::SAMEA751183	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1995-01-01	1995-12-31	year	1995		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751183	SAMEA751183	GCA_001206895	ERR028880	ncbi_assembly_download					3821068	68	327	18351	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3821068	67.90538666153023	0.00023579794968317758	305	19456			True
AUS__SAMEA751472	AUS::SAMEA751472	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1995-01-01	1995-12-31	year	1995		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751472	SAMEA751472	GCA_001195265	ERR028859	ncbi_assembly_download					3735631	67.5	951	6863	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3735631	67.58844757418493	0.001905434450029995	900	7318		contigs	False
AUS__SAMEA751473	AUS::SAMEA751473	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1995-01-01	1995-12-31	year	1995		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751473	SAMEA751473	GCA_001333375	ERR028849	ncbi_assembly_download					3719724	67.5	1053	6347	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3719724	67.33590986858165	0.004717554313169472	928	6852		contigs	False
AUS__SAMEA751500	AUS::SAMEA751500	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1996-01-01	1996-12-31	year	1996		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751500	SAMEA751500	GCA_001333695	ERR028879	ncbi_assembly_download					3790168	68	702	9373	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3790168	67.71792173856146	0.0014664257626574864	655	9880		contigs	False
AUS__SAMEA751470	AUS::SAMEA751470	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1997-01-01	1997-12-31	year	1997		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751470	SAMEA751470	GCA_001203115	ERR028848	ncbi_assembly_download					3773633	68	843	7642	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3773633	67.6283305769268	0.002079163501061179	776	7985		contigs	False
AUS__SAMEA751510	AUS::SAMEA751510	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1997-01-01	1997-12-31	year	1997		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751510	SAMEA751510	GCA_001333775	ERR028869	ncbi_assembly_download					3780476	68	678	10124	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3780476	67.60336529050839	0.00312950009469707	564	11815		contigs	False
AUS__SAMEA751515	AUS::SAMEA751515	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1997-01-01	1997-12-31	year	1997		PRJEB2274	ptxP3/fim3-1	provisional_marker_or_published_annotation	SAMEA751515	SAMEA751515	GCA_001333835	ERR028866	ncbi_assembly_download					3778516	68	698	9289	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3778516	67.69414235641717	0.001721046040297302	652	10230		contigs	False
AUS__SAMEA1931801	AUS::SAMEA1931801	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1998-01-01	1998-12-31	year	1998		PRJEB2274		provisional_marker_or_published_annotation	SAMEA1931801	SAMEA1931801	GCA_001205335	ERR361854	ncbi_assembly_download					3685166	67.5	1123	6164	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3685166	66.50460250637285	0.01535317540648101	805	7607		contigs	False
AUS__SAMEA751337	AUS::SAMEA751337	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1998-01-01	1998-12-31	year	1998		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751337	SAMEA751337	GCA_001198195	ERR028881	ncbi_assembly_download					3805015	68	521	11986	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3805015	67.76950945002845	0.0013424388602935862	466	13084			True
AUS__SAMEA751421	AUS::SAMEA751421	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1998-01-01	1998-12-31	year	1998		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751421	SAMEA751421	GCA_001198955		ncbi_assembly_download									ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3691686	67.41922254492934	0.0029428288321379447	1165	5736		contigs	False
AUS__SAMEA751502	AUS::SAMEA751502	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1998-01-01	1998-12-31	year	1998		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751502	SAMEA751502	GCA_001193855	ERR028877	ncbi_assembly_download					3737689	67.5	1046	6349	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3737689	67.5957523485769	0.0016903493040753257	998	6477		contigs	False
AUS__SAMEA751155	AUS::SAMEA751155	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2000-01-01	2000-12-31	year	2000		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751155	SAMEA751155	GCA_001331635	ERR028882	ncbi_assembly_download					3824464	68	475	13810	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3824464	67.83910111325405	0.0006497642545465194	434	14942			True
AUS__SAMEA751403	AUS::SAMEA751403	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2000-01-01	2000-12-31	year	2000		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751403	SAMEA751403	GCA_001204675		ncbi_assembly_download									ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3729167	67.49255262636402	0.0026759327217043376	1000	6394		contigs	False
AUS__SAMEA751405	AUS::SAMEA751405	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2000-01-01	2000-12-31	year	2000		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751405	SAMEA751405	GCA_001203235	ERR028853	ncbi_assembly_download					3754221	67.5	888	7498	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3754221	67.53390383784013	0.003039778425404365	805	7835		contigs	False
AUS__SAMEA751475	AUS::SAMEA751475	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2000-01-01	2000-12-31	year	2000		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751475	SAMEA751475	GCA_001198375	ERR028854	ncbi_assembly_download					3829485	68	348	17525	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3829485	67.89808551280395	0.0003162305114134146	320	18621			True
AUS__SAMEA1931346	AUS::SAMEA1931346	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2002-01-01	2002-12-31	year	2002		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA1931346	SAMEA1931346	GCA_001331015	ERR361845	ncbi_assembly_download					3689049	67.5	979	6659	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3689049	67.30975923605243	0.0048269892863987435	842	7478		contigs	False
AUS__SAMEA751474	AUS::SAMEA751474	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2002-01-01	2002-12-31	year	2002		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751474	SAMEA751474	GCA_001333395	ERR028855	ncbi_assembly_download					3809463	68	550	11521	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3809463	67.79414841409405	0.0009132520777862917	508	12182		contigs	False
AUS__SAMEA751506	AUS::SAMEA751506	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2002-01-01	2002-12-31	year	2002		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751506	SAMEA751506	GCA_001198715	ERR028873	ncbi_assembly_download					3808135	68	581	11253	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3808135	67.77693017710769	0.0012557327930863796	536	11997		contigs	False
AUS__SAMEA751476	AUS::SAMEA751476	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2004-01-01	2004-12-31	year	2004		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751476	SAMEA751476	GCA_900067715	ERR028857	ncbi_assembly_download					3815679	68	525	12249	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3815679	67.8286092724257	0.0006575500716910411	490	12938			True
AUS__SAMEA751477	AUS::SAMEA751477	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2004-01-01	2004-12-31	year	2004		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751477	SAMEA751477	GCA_001196975	ERR028856	ncbi_assembly_download					3816729	68	498	13077	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3816729	67.81511079251369	0.0009699404909282268	460	13382			True
AUS__SAMEA751471	AUS::SAMEA751471	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2006-01-01	2006-12-31	year	2006		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751471	SAMEA751471	GCA_001333355	ERR028847	ncbi_assembly_download					3797312	68	672	9735	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3797312	67.7183755245816	0.001431275597053916	625	10545		contigs	False
AUS__SAMEA751459	AUS::SAMEA751459	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2007-01-01	2007-12-31	year	2007		PRJEB2274	ptxP3/fim3-2	provisional_marker_or_published_annotation	SAMEA751459	SAMEA751459	GCA_001333175	ERR028875	ncbi_assembly_download					3747458	67.5	887	7403	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3747458	67.570443751471	0.002515571888997822	820	7774		contigs	False
AUS__SAMEA751480	AUS::SAMEA751480	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2007-01-01	2007-12-31	year	2007		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751480	SAMEA751480	GCA_001333455	ERR028863	ncbi_assembly_download					3668219	67.5	1297	5148	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3668219	67.28502305887407	0.0042254838110810725	1206	5438		contigs	False
AUS__SAMN18200432	AUS::SAMN18200432	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2008-01-01	2008-12-31	year	2008		PRJNA695314	ptxP3/fim3-2	provisional_marker_or_published_annotation	SAMN18200432	SAMN18200432	GCA_017357165		ncbi_assembly_download					4104145	67.5	1	4104145	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	4104145	67.70859704030924	0.0	1	4104145			True
AUS__SAMN22857989	AUS::SAMN22857989	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2008-01-01	2008-12-31	year	2008		PRJNA562796	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS10902297	SAMN22857989	RRASM_SRR16760177	SRR16760177	local_fasta					3853767	67.83	402	20243	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3853767	67.82843903121284	0.0	402	20243			True
AUS__SAMN22858044	AUS::SAMN22858044	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2008-01-01	2008-12-31	year	2008		PRJNA562796	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS10902086	SAMN22858044	RRASM_SRR16760399	SRR16760399	local_fasta					3853630	67.83	403	20243	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3853630	67.83204407273142	0.0	403	20243			True
AUS__SAMN22857945	AUS::SAMN22857945	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2009-01-01	2009-12-31	year	2009		PRJNA562796	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS10902188	SAMN22857945	RRASM_SRR16760240	SRR16760240	local_fasta					3854601	67.83	405	19551	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3854601	67.83389512948293	0.0	405	19551			True
AUS__SAMN22858020	AUS::SAMN22858020	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2009-01-01	2009-12-31	year	2009		PRJNA562796	ptxP3/fim3-2	provisional_marker_or_published_annotation	SRS10902074	SAMN22858020	RRASM_SRR16760425	SRR16760425	local_fasta					3869499	67.81	415	19620	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3869499	67.80673673775338	0.0	415	19620			True
AUS__SAMN22858066	AUS::SAMN22858066	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2010-01-01	2010-12-31	year	2010		PRJNA562796	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS10902096	SAMN22858066	RRASM_SRR16760375	SRR16760375	local_fasta					3852734	67.84	395	20147	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3852734	67.83751486606654	0.0	395	20147			True
AUS__SAMN22858115	AUS::SAMN22858115	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2010-01-01	2010-12-31	year	2010		PRJNA562796	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS10902136	SAMN22858115	RRASM_SRR16760321	SRR16760321	local_fasta					3853745	67.83	387	20298	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3853745	67.8286446041448	0.0	387	20298			True
AUS__SAMN18200430	AUS::SAMN18200430	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2011-01-01	2011-12-31	year	2011		PRJNA695314	ptxP3/fim3-2	provisional_marker_or_published_annotation	SAMN18200430	SAMN18200430	GCA_017357205		ncbi_assembly_download					4109518	67.5	1	4109518	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	4109518	67.70458238654753	0.0	1	4109518			True
AUS__SAMN22858161	AUS::SAMN22858161	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2011-01-01	2011-12-31	year	2011		PRJNA562796	ptxP3/fim3-2	provisional_marker_or_published_annotation	SRS10902167	SAMN22858161	RRASM_SRR16760269	SRR16760269	local_fasta					3875216	67.77	357	20370	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3875216	67.77480274647917	0.0	357	20370			True
AUS__SAMN22858166	AUS::SAMN22858166	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2011-01-01	2011-12-31	year	2011		PRJNA562796	ptxP3/fim3-2	provisional_marker_or_published_annotation	SRS10902172	SAMN22858166	RRASM_SRR16760264	SRR16760264	local_fasta					3875525	67.76	379	19293	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3875525	67.76408357577361	0.0	379	19293			True
AUS__SAMN22858150	AUS::SAMN22858150	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2012-01-01	2012-12-31	year	2012		PRJNA562796	ptxP3/fim3-2	provisional_marker_or_published_annotation	SRS10902159	SAMN22858150	RRASM_SRR16760281	SRR16760281	local_fasta					3874880	67.77	374	20292	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3874880	67.76999545792386	0.0	374	20292			True
AUS__SAMN22858181	AUS::SAMN22858181	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2012-01-01	2012-12-31	year	2012		PRJNA562796	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS10902182	SAMN22858181	RRASM_SRR16760247	SRR16760247	local_fasta					3862577	67.82	423	19580	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3862577	67.82458964572098	0.0	423	19580			True
AUS__SAMN45810521	AUS::SAMN45810521	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2012-01-01	2012-01-31	month	2012	1	PRJNA1199062				SAMN45810521		SRR31743935	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/035/SRR31743935/SRR31743935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/035/SRR31743935/SRR31743935_2.fastq.gz	1174532820;1171202545	PAIRED	23593290	5709176796	PRJNA1199062	SAMN45810521	2012-01	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/035/SRR31743935/SRR31743935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/035/SRR31743935/SRR31743935_2.fastq.gz	1174532820;1171202545	2345735365	resolved_streamed_fastq_subset	PASS			100000	paired_reads						1.0		True
AUS__SAMN08443709	AUS::SAMN08443709	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2013-01-01	2013-12-31	year	2013		PRJNA432286	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS4426937	SAMN08443709	RRASM_SRR8652760	SRR8652760	local_fasta					3877771	67.77	356	20504	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3877771	67.76810698723571	0.0	356	20504			True
AUS__SAMN08443715	AUS::SAMN08443715	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2013-01-01	2013-12-31	year	2013		PRJNA432286	ptxP1/fim3-4	provisional_marker_or_published_annotation	SRS4426948	SAMN08443715	RRASM_SRR8652749	SRR8652749	local_fasta					3883756	67.76	378	20370	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3883756	67.76164620022473	0.0	378	20370			True
AUS__SAMEA751167	AUS::SAMEA751167	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2014-01-01	2014-12-31	year	2014		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751167	SAMEA751167	GCA_001331755	ERR028883	ncbi_assembly_download					3696754	67.5	1017	6316	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3696754	67.4321580500082	0.0037127166157120543	931	6737		contigs	False
AUS__SAMEA751507	AUS::SAMEA751507	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2014-01-01	2014-12-31	year	2014		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751507	SAMEA751507	GCA_001208145	ERR028874	ncbi_assembly_download					3764606	68	866	7502	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3764606	67.58423059411795	0.002465862297409078	785	7960		contigs	False
AUS__SAMN07235949	AUS::SAMN07235949	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2014-03-07	2014-03-07	day	2014	3	PRJNA390469	ptxP3/fim3-1	provisional_marker_or_published_annotation	SAMN07235949	SAMN07235949	GCA_002270325		ncbi_assembly_download					3910437	68	276	20926	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3910437	67.75506164656278	0.0	276	20926			True
AUS__SAMN08443734	AUS::SAMN08443734	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2014-01-01	2014-12-31	year	2014		PRJNA432286	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS4426920	SAMN08443734	RRASM_SRR8652777	SRR8652777	local_fasta					3881057	67.77	371	20503	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3881057	67.76697688284403	0.0	371	20503			True
AUS__SAMN08443746	AUS::SAMN08443746	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2014-01-01	2014-12-31	year	2014		PRJNA432286	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS4426979	SAMN08443746	RRASM_SRR8652718	SRR8652718	local_fasta					3877599	67.76	374	19983	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3877599	67.76389203731485	0.0	374	19983			True
AUS__SAMN08443742	AUS::SAMN08443742	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2015-01-01	2015-12-31	year	2015		PRJNA432286	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS4426956	SAMN08443742	RRASM_SRR8652742	SRR8652742	local_fasta					3878359	67.77	373	20747	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3878359	67.76755323578864	0.0	373	20747			True
AUS__SAMN08443767	AUS::SAMN08443767	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2015-01-01	2015-12-31	year	2015		PRJNA432286	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS4426968	SAMN08443767	RRASM_SRR8652729	SRR8652729	local_fasta					3865684	67.82	433	19814	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3865684	67.82370209256628	0.0	433	19814			True
