tree_sample_id	country_iso3	epidemic_period	primary_model_lineage_id	strongest_event_id	strongest_transition_support	strongest_post_event_id	strongest_post_transition_support	post_reseeding_support	local_persistence_support	normalised_post_import_support
AUS__SAMN45810501	AUS	prepandemic	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236		0.0	0.0	1.0	0.0
AUS__SAMN45810505	AUS	prepandemic	L1_02.06	NODE_0308->NODE_0309:AUS	0.9515263768156667		0.0	0.0	1.0	0.0
AUS__SAMN45810506	AUS	prepandemic	L1_02.06	NODE_0746->AUS__SAMN45810506:AUS	0.7550235246810307		0.0	0.0	1.0	0.0
AUS__SAMN45810507	AUS	prepandemic	L1_02.06	NODE_0238->AUS__SAMN45810507:AUS	0.9754359562623414		0.0	0.0	1.0	0.0
AUS__SAMN45810523	AUS	prepandemic	L1_02.06	NODE_0308->NODE_0309:AUS	0.9515263768156667		0.0	0.0	1.0	0.0
AUS__SAMN45810532	AUS	prepandemic	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236		0.0	0.0	1.0	0.0
AUS__SAMN45810545	AUS	prepandemic	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236		0.0	0.0	1.0	0.0
AUS__SAMN45810547	AUS	prepandemic	L1_02.06	NODE_0201->NODE_0202:AUS	0.9999250270045879		0.0	0.0	1.0	0.0
AUS__SAMN45810575	AUS	prepandemic	L1_02.06	NODE_0201->NODE_0202:AUS	0.9999250270045879		0.0	0.0	1.0	0.0
AUS__SAMN45810511	AUS	resurgence	L1_02.06	NODE_0226->NODE_0227:AUS	0.9694466679503484	NODE_0237->AUS__SAMN45810511:AUS	0.017441367220530357	0.017441367220530357	0.9999113376204712	0.017143874624342997
AUS__SAMN44480251	AUS	resurgence	L1_02.07	NODE_0364->NODE_0365:AUS	0.9999917209689514	NODE_0364->NODE_0365:AUS	0.9999917209689514	0.9999917209689514	0.1677604538610016	0.8563389925731195
AUS__SAMN44480252	AUS	resurgence	L1_02.07	NODE_0364->NODE_0365:AUS	0.9999917209689514	NODE_0364->NODE_0365:AUS	0.9999917209689514	0.9999917209689514	0.1677604538610016	0.8563389925731195
AUS__SAMN45810503	AUS	resurgence	L1_02.05	NODE_0118->AUS__SAMN45810503:AUS	0.9271877953005994	NODE_0118->AUS__SAMN45810503:AUS	0.9271877953005994	0.9271877953005994	0.1677604538610016	0.846786865050969
AUS__SAMN45810504	AUS	resurgence	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236	NODE_0096->AUS__SAMN45810504:AUS	4.3134083462570416e-05	4.3134083462570416e-05	0.9999999998843264	4.313222299865292e-05
AUS__SAMN45810513	AUS	resurgence	L1_02.06	NODE_0246->AUS__SAMN45810513:AUS	0.9999996721836157	NODE_0246->AUS__SAMN45810513:AUS	0.9999996721836157	0.9999996721836157	0.1677604538610016	0.8563399707530416
AUS__SAMN45810536	AUS	resurgence	L1_02.06	NODE_0226->NODE_0227:AUS	0.9694466679503484	NODE_0236->AUS__SAMN45810536:AUS	0.00011486131620841444	0.00011486131620841444	0.9999113376204712	0.00011485830704290109
AUS__SAMN45810543	AUS	resurgence	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236	NODE_0099->AUS__SAMN45810543:AUS	4.27877999698012e-09	4.27877999698012e-09	0.9999999998843264	4.278779979167104e-09
AUS__SAMN45810549	AUS	resurgence	L1_02.06	NODE_0308->NODE_0309:AUS	0.9515263768156667	NODE_0311->AUS__SAMN45810549:AUS	3.0035793319171944e-07	3.0035793319171944e-07	0.9999996996420668	3.0035793319171944e-07
AUS__SAMN45810556	AUS	resurgence	L1_01.02	NODE_0781->NODE_0782:AUS	0.4702257749831932	NODE_0781->NODE_0782:AUS	0.4702257749831932	0.4702257749831932	0.1677604538610016	0.7370469043431798
AUS__SAMN45810557	AUS	resurgence	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236	NODE_0090->AUS__SAMN45810557:AUS	1.8528924838889793e-08	1.8528924838889793e-08	0.9999999814710752	1.8528924838889793e-08
AUS__SAMN45810558	AUS	resurgence	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236	NODE_0098->AUS__SAMN45810558:AUS	6.645868300125812e-10	6.645868300125812e-10	0.9999999998843264	6.645868296477806e-10
AUS__SAMN45810562	AUS	resurgence	L1_02.05	NODE_0120->NODE_0121:AUS	0.937276240897752	NODE_0120->NODE_0121:AUS	0.937276240897752	0.937276240897752	0.1677604538610016	0.8481856261817384
AUS__SAMN45810564	AUS	resurgence	L1_02.06	NODE_0226->NODE_0227:AUS	0.9694466679503484	NODE_0237->AUS__SAMN45810564:AUS	0.017441367220530357	0.017441367220530357	0.9999113376204712	0.017143874624342997
AUS__SAMN45810580	AUS	resurgence	L1_02.06	NODE_0281->AUS__SAMN45810580:AUS	0.9686664569514014	NODE_0281->AUS__SAMN45810580:AUS	0.9686664569514014	0.9686664569514014	0.1677604538610016	0.852379020362098
AUS__SAMN45810582	AUS	resurgence	L1_01.02	NODE_0781->NODE_0782:AUS	0.4702257749831932	NODE_0781->NODE_0782:AUS	0.4702257749831932	0.4702257749831932	0.1677604538610016	0.7370469043431798
AUS__SAMN45810584	AUS	resurgence	L1_02.07	NODE_0364->NODE_0365:AUS	0.9999917209689514	NODE_0364->NODE_0365:AUS	0.9999917209689514	0.9999917209689514	0.1677604538610016	0.8563389925731195
AUS__SAMN45810594	AUS	resurgence	L1_02.06	NODE_0226->NODE_0227:AUS	0.9694466679503484	NODE_0232->AUS__SAMN45810594:AUS	2.244690347474876e-05	2.244690347474876e-05	0.9999936049344148	2.244654316647667e-05
AUS__SAMN45810596	AUS	resurgence	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236	NODE_0097->AUS__SAMN45810596:AUS	0.0006053737812148352	0.0006053737812148352	0.9999999998843264	0.0006050075255913879
AUS__SAMN45810598	AUS	resurgence	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236	NODE_0097->AUS__SAMN45810598:AUS	0.0006053737812148352	0.0006053737812148352	0.9999999998843264	0.0006050075255913879
AUS__SAMN45810606	AUS	resurgence	L1_02.05	NODE_0120->NODE_0121:AUS	0.937276240897752	NODE_0120->NODE_0121:AUS	0.937276240897752	0.937276240897752	0.1677604538610016	0.8481856261817384
AUS__SAMN45810610	AUS	resurgence	L1_02.05	NODE_0128->AUS__SAMN45810610:AUS	0.7220409197777389	NODE_0128->AUS__SAMN45810610:AUS	0.7220409197777389	0.7220409197777389	0.1677604538610016	0.8114630311538356
AUS__SAMN45810611	AUS	resurgence	L1_01.02	NODE_0781->AUS__SAMN45810611:AUS	0.5401682112653698	NODE_0781->AUS__SAMN45810611:AUS	0.5401682112653698	0.5401682112653698	0.1677604538610016	0.7630263300172273
AUS__SAMN45810627	AUS	resurgence	L1_02.06	NODE_0226->NODE_0227:AUS	0.9694466679503484	NODE_0229->AUS__SAMN45810627:AUS	6.586416547604834e-06	6.586416547604834e-06	0.9999934135834524	6.586416547604834e-06
AUS__SAMN45810630	AUS	resurgence	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236	NODE_0089->AUS__SAMN45810630:AUS	7.051265029645037e-07	7.051265029645037e-07	0.999999294873497	7.051265029645037e-07
AUS__SAMN45810633	AUS	resurgence	L1_02.06	NODE_0226->NODE_0227:AUS	0.9694466679503484	NODE_0235->AUS__SAMN45810633:AUS	9.687906838995453e-05	9.687906838995453e-05	0.9999113376204712	9.687827237133302e-05
AUS__SAMN45810634	AUS	resurgence	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236	NODE_0094->AUS__SAMN45810634:AUS	1.0370079384092179e-07	1.0370079384092179e-07	0.9999999998843264	1.037007830990637e-07
AUS__SAMN45810638	AUS	resurgence	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236	NODE_0091->AUS__SAMN45810638:AUS	2.9820179658912593e-09	2.9820179658912593e-09	0.999999997017982	2.9820179658912593e-09
AUS__SAMN45810640	AUS	resurgence	L1_02.05	NODE_0120->NODE_0121:AUS	0.937276240897752	NODE_0120->NODE_0121:AUS	0.937276240897752	0.937276240897752	0.1677604538610016	0.8481856261817384
AUS__SAMN45810642	AUS	resurgence	L1_02.06	NODE_0226->NODE_0227:AUS	0.9694466679503484	NODE_0230->AUS__SAMN45810642:AUS	6.395065585196313e-06	6.395065585196313e-06	0.9999936049344148	6.395065585196313e-06
AUS__SAMN45810643	AUS	resurgence	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236	NODE_0088->AUS__SAMN45810643:AUS	4.1662328436054e-06	4.1662328436054e-06	0.9999958337671564	4.1662328436054e-06
AUS__SAMN45810645	AUS	resurgence	L1_02.06	NODE_0226->NODE_0227:AUS	0.9694466679503484	NODE_0227->AUS__SAMN45810645:AUS	0.0011646270487095656	0.0011646270487095656	0.9988353729512904	0.0011646270487095656
AUS__SAMN45810646	AUS	resurgence	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236	NODE_0096->AUS__SAMN45810646:AUS	4.3134083462570416e-05	4.3134083462570416e-05	0.9999999998843264	4.313222299865292e-05
AUS__SAMN45811366	AUS	resurgence	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236	NODE_0101->AUS__SAMN45811366:AUS	6.586691529897326e-05	6.586691529897326e-05	0.9999999998843264	6.586257714180185e-05
AUS__SAMN45811367	AUS	resurgence	L1_02.06	NODE_0226->NODE_0227:AUS	0.9694466679503484	NODE_0232->NODE_0233:AUS	2.244690211329106e-05	2.244690211329106e-05	0.9999936049344148	2.244654180507138e-05
AUS__SAMN45811368	AUS	resurgence	L1_02.06	NODE_0226->NODE_0227:AUS	0.9694466679503484	NODE_0232->NODE_0233:AUS	2.244690211329106e-05	2.244690211329106e-05	0.9999936049344148	2.244654180507138e-05
AUS__SAMN45811371	AUS	resurgence	L1_01.02	NODE_0781->NODE_0782:AUS	0.4702257749831932	NODE_0781->NODE_0782:AUS	0.4702257749831932	0.4702257749831932	0.1677604538610016	0.7370469043431798
BEL__SAMEA117989203	BEL	prepandemic	L1_02.06	NODE_0181->BEL__SAMEA117989203:BEL	0.999999951439283		0.0	0.0	1.0	0.0
BEL__SAMEA117989205	BEL	prepandemic	L1_02.06	NODE_0747->BEL__SAMEA117989205:BEL	0.9918779707272489		0.0	0.0	1.0	0.0
BEL__SAMEA117989208	BEL	prepandemic	L1_02.06	NODE_0199->BEL__SAMEA117989208:BEL	0.9999997424870334		0.0	0.0	1.0	0.0
BEL__SAMEA117989209	BEL	prepandemic	L1_02.06	NODE_0712->BEL__SAMEA117989209:BEL	0.9996010701515263		0.0	0.0	1.0	0.0
BEL__SAMEA117989211	BEL	prepandemic	L1_02.06	NODE_0193->BEL__SAMEA117989211:BEL	0.9999998362205264		0.0	0.0	1.0	0.0
BEL__SAMEA117989214	BEL	prepandemic	L1_02.05	NODE_0068->BEL__SAMEA117989214:BEL	0.9999992108634747		0.0	0.0	1.0	0.0
BEL__SAMEA117989221	BEL	prepandemic	L1_01.02	NODE_0793->BEL__SAMEA117989221:BEL	0.6335037298066957		0.0	0.0	1.0	0.0
BEL__SAMEA117989226	BEL	prepandemic	L1_02.07	NODE_0597->BEL__SAMEA117989226:BEL	0.9999958529376649		0.0	0.0	1.0	0.0
BEL__SAMEA117989252	BEL	prepandemic	L1_02.06	NODE_0721->NODE_0722:BEL	0.9999554151710673		0.0	0.0	1.0	0.0
BEL__SAMEA117989259	BEL	prepandemic	L1_02.07	NODE_0324->BEL__SAMEA117989259:BEL	0.9987385325783515		0.0	0.0	1.0	0.0
BEL__SAMEA117989272	BEL	prepandemic	L1_02.06	NODE_0721->NODE_0722:BEL	0.9999554151710673		0.0	0.0	1.0	0.0
BEL__SAMEA117989286	BEL	prepandemic	L1_02.06	NODE_0313->BEL__SAMEA117989286:BEL	0.9636040628708613		0.0	0.0	1.0	0.0
BEL__SAMEA117989308	BEL	prepandemic	L1_02.07	NODE_0589->BEL__SAMEA117989308:BEL	0.8402979206470294		0.0	0.0	1.0	0.0
BEL__SAMEA117989309	BEL	prepandemic	L1_02.05	NODE_0060->NODE_0119:BEL	0.7206612855050137		0.0	0.0	1.0	0.0
BEL__SAMEA117989353	BEL	prepandemic	L1_02.05	NODE_0085->NODE_0102:BEL	0.9595720770520949		0.0	0.0	1.0	0.0
BEL__SAMEA117989425	BEL	prepandemic	L1_02.05	NODE_0085->NODE_0102:BEL	0.9595720770520949		0.0	0.0	1.0	0.0
BEL__SAMEA117989434	BEL	prepandemic	L1_02.06	NODE_0707->BEL__SAMEA117989434:BEL	0.9999989620465384		0.0	0.0	1.0	0.0
BEL__SAMEA117989436	BEL	prepandemic	L1_02.05	NODE_0058->NODE_0126:BEL	0.9996989575546911		0.0	0.0	1.0	0.0
BEL__SAMEA117989467	BEL	prepandemic	L1_02.06	NODE_0721->NODE_0722:BEL	0.9999554151710673		0.0	0.0	1.0	0.0
BEL__SAMEA117989479	BEL	prepandemic	L1_02.05	NODE_0115->BEL__SAMEA117989479:BEL	0.8885977516747238		0.0	0.0	1.0	0.0
BEL__SAMEA117989511	BEL	pandemic	L1_02.06	NODE_0189->BEL__SAMEA117989511:BEL	0.999943981269365		0.0	0.0	1.0	0.0
BEL__SAMEA117989512	BEL	pandemic	L1_02.05	NODE_0058->NODE_0126:BEL	0.9996989575546911		0.0	0.0	1.0	0.0
BEL__SAMEA117989513	BEL	pandemic	L1_02.07	NODE_0594->BEL__SAMEA117989513:BEL	0.9994909055244297		0.0	0.0	1.0	0.0
BEL__SAMEA117989514	BEL	pandemic	L1_02.05	NODE_0147->NODE_0148:BEL	0.4343237650948178		0.0	0.0	1.0	0.0
BEL__SAMEA117989515	BEL	pandemic	L1_02.05	NODE_0065->BEL__SAMEA117989515:BEL	0.9999995154559679		0.0	0.0	1.0	0.0
BEL__SAMEA117989516	BEL	pandemic	L1_02.05	NODE_0053->BEL__SAMEA117989516:BEL	0.9999999959998664		0.0	0.0	1.0	0.0
BEL__SAMEA117989517	BEL	pandemic	L1_02.06	NODE_0313->NODE_0314:BEL	0.8680497838812583		0.0	0.0	1.0	0.0
BEL__SAMEA117989518	BEL	pandemic	L1_02.05	NODE_0082->BEL__SAMEA117989518:BEL	0.9877975920356091		0.0	0.0	1.0	0.0
BEL__SAMEA117989519	BEL	pandemic	L1_02.05	NODE_0127->BEL__SAMEA117989519:BEL	0.9335797288839494		0.0	0.0	1.0	0.0
BEL__SAMEA117989520	BEL	pandemic	L1_02.06	NODE_0726->BEL__SAMEA117989520:BEL	0.9999932875671342		0.0	0.0	1.0	0.0
BEL__SAMEA117989521	BEL	pandemic	L1_02.06	NODE_0313->NODE_0314:BEL	0.8680497838812583		0.0	0.0	1.0	0.0
BEL__SAMEA117989522	BEL	pandemic	L1_02.06	NODE_0305->BEL__SAMEA117989522:BEL	0.9999998957729218		0.0	0.0	1.0	0.0
BEL__SAMEA117989523	BEL	pandemic	L1_02.06	NODE_0746->BEL__SAMEA117989523:BEL	0.9616860813317767		0.0	0.0	1.0	0.0
BEL__SAMEA117989524	BEL	pandemic	L1_02.05	NODE_0147->NODE_0148:BEL	0.4343237650948178		0.0	0.0	1.0	0.0
BEL__SAMEA117989525	BEL	pandemic	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973		0.0	0.0	1.0	0.0
BEL__SAMEA117989526	BEL	pandemic	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973		0.0	0.0	1.0	0.0
BEL__SAMEA117989527	BEL	pandemic	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973		0.0	0.0	1.0	0.0
BEL__SAMEA117989528	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0672->BEL__SAMEA117989528:BEL	8.48953991550161e-08	8.48953991550161e-08	0.9999999999992578	8.489539194785091e-08
BEL__SAMEA117989529	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0651->BEL__SAMEA117989529:BEL	1.389257175965497e-08	1.389257175965497e-08	0.9999999999992578	1.3892571566661736e-08
BEL__SAMEA117989530	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0617->BEL__SAMEA117989530:BEL	1.0673395500759852e-10	1.0673395500759852e-10	0.999999999893266	1.0673395500759852e-10
BEL__SAMEA117989531	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0671->BEL__SAMEA117989531:BEL	1.4392985692168736e-09	1.4392985692168736e-09	0.9999999999992578	1.4392985671463615e-09
BEL__SAMEA117989532	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0668->BEL__SAMEA117989532:BEL	4.4802311194303e-08	4.4802311194303e-08	0.9999999999992578	4.480230918708925e-08
BEL__SAMEA117989533	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0666->BEL__SAMEA117989533:BEL	2.2076889882871598e-07	2.2076889882871598e-07	0.9999999999992578	2.207688500899839e-07
BEL__SAMEA117989534	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0667->BEL__SAMEA117989534:BEL	1.4742423315450282e-07	1.4742423315450282e-07	0.9999999999992578	1.4742421142071092e-07
BEL__SAMEA117989535	BEL	resurgence	L1_02.06	NODE_0286->NODE_0287:BEL	0.9997630551582687	NODE_0286->NODE_0287:BEL	0.9997630551582687	0.9997630551582687	0.1647295855304578	0.8585396079162593
BEL__SAMEA117989536	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0615->BEL__SAMEA117989536:BEL	1.0484811907573999e-09	1.0484811907573999e-09	0.9999999989515188	1.0484811907573999e-09
BEL__SAMEA117989537	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0658->NODE_0659:BEL	8.900336023737573e-11	8.900336023737573e-11	0.9999999999992578	8.900336022952019e-11
BEL__SAMEA117989538	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0660->NODE_0661:BEL	1.0343015332206983e-10	1.0343015332206983e-10	0.9999999999992578	1.034301533114488e-10
BEL__SAMEA117989539	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0636->BEL__SAMEA117989539:BEL	1.00049191154028e-10	1.00049191154028e-10	0.9999999999992578	1.000491911440924e-10
BEL__SAMEA117989540	BEL	resurgence	L1_02.06	NODE_0286->NODE_0287:BEL	0.9997630551582687	NODE_0286->NODE_0287:BEL	0.9997630551582687	0.9997630551582687	0.1647295855304578	0.8585396079162593
BEL__SAMEA117989541	BEL	resurgence	L1_01.02	NODE_0772->NODE_0776:BEL	0.9985763849223456	NODE_0772->NODE_0776:BEL	0.9985763849223456	0.9985763849223456	0.1647295855304578	0.8583953063815716
BEL__SAMEA117989542	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0634->BEL__SAMEA117989542:BEL	7.421840919619171e-13	7.421840919619171e-13	0.9999999999992578	7.421840919619171e-13
BEL__SAMEA117989543	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0670->BEL__SAMEA117989543:BEL	4.954592291994686e-12	4.954592291994686e-12	0.9999999999992578	4.954592291973815e-12
BEL__SAMEA117989544	BEL	resurgence	L1_02.06	NODE_0611->NODE_0612:BEL	0.7235820867895973	NODE_0613->BEL__SAMEA117989544:BEL	2.61164562236349e-05	2.61164562236349e-05	0.9999738835437764	2.61164562236349e-05
BEL__SAMEA117989545	BEL	resurgence	L1_02.07	NODE_0587->NODE_0591:BEL	0.5318363025983978	NODE_0587->NODE_0591:BEL	0.5318363025983978	0.5318363025983978	0.1647295855304578	0.7635118395289765
BEL__SAMEA117989546	BEL	resurgence	L1_01.02	NODE_0772->NODE_0776:BEL	0.9985763849223456	NODE_0772->NODE_0776:BEL	0.9985763849223456	0.9985763849223456	0.1647295855304578	0.8583953063815716
