tree_sample_id	genome_record_id	tree_role	country_iso3	epidemic_period	model_sublineage_id	primary_model_lineage_id	published_branch	published_lineage	published_sublineage	published_mt28_label	has_published_mt28_label	is_l10207	inside_published_mt28_mrca	published_annotation_source
CHN__SAMN43024012	CHN::SAMN43024012	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024013	CHN::SAMN43024013	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024014	CHN::SAMN43024014	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024015	CHN::SAMN43024015	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024016	CHN::SAMN43024016	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024017	CHN::SAMN43024017	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024018	CHN::SAMN43024018	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024019	CHN::SAMN43024019	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024020	CHN::SAMN43024020	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024021	CHN::SAMN43024021	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156013	CHN::SAMN45156013	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156018	CHN::SAMN45156018	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156019	CHN::SAMN45156019	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156020	CHN::SAMN45156020	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156021	CHN::SAMN45156021	focal	CHN	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156024	CHN::SAMN45156024	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156027	CHN::SAMN45156027	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156028	CHN::SAMN45156028	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG2	MR-MT28-PG2	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156030	CHN::SAMN45156030	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156031	CHN::SAMN45156031	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156034	CHN::SAMN45156034	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156054	CHN::SAMN45156054	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156057	CHN::SAMN45156057	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156063	CHN::SAMN45156063	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
CHN__SAMN45156066	CHN::SAMN45156066	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	transmission_genome_records
FRA__SAMEA115874197	FRA::SAMEA115874197	focal	FRA	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	transmission_genome_records
FRA__SAMEA115874199	FRA::SAMEA115874199	focal	FRA	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	transmission_genome_records
FRA__SAMEA115874210	FRA::SAMEA115874210	focal	FRA	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-PG1	MR-MT28-PG1	TRUE	TRUE	TRUE	transmission_genome_records
FRA__SAMEA115874217	FRA::SAMEA115874217	focal	FRA	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	transmission_genome_records
FRA__SAMEA115874223	FRA::SAMEA115874223	focal	FRA	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	transmission_genome_records
AUT__SAMN15396105	BG::SAMN15396105	global_background	AUT	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
AUT__SAMN15396109	BG::SAMN15396109	global_background	AUT	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
AUT__SAMN15396112	BG::SAMN15396112	global_background	AUT	pandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
AUT__SAMN15396194	BG::SAMN15396194	global_background	AUT	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
DNK__SAMEA8914402	BG::SAMEA8914402	global_background	DNK	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
DNK__SAMEA8914410	BG::SAMEA8914410	global_background	DNK	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
FIN__SAMEA8914470	BG::SAMEA8914470	global_background	FIN	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
FIN__SAMEA8914471	BG::SAMEA8914471	global_background	FIN	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
IRL__SAMEA8914503	BG::SAMEA8914503	global_background	IRL	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
IRL__SAMEA8914514	BG::SAMEA8914514	global_background	IRL	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
NOR__SAMEA10057988	BG::SAMEA10057988	global_background	NOR	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
NOR__SAMEA10057989	BG::SAMEA10057989	global_background	NOR	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
NOR__SAMEA10058016	BG::SAMEA10058016	global_background	NOR	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
NOR__SAMEA10058023	BG::SAMEA10058023	global_background	NOR	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
USA__SAMN11539704	BG::SAMN11539704	global_background	USA	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
USA__SAMN12392429	BG::SAMN12392429	global_background	USA	prepandemic	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MS-MT28	MS-MT28	TRUE	TRUE	TRUE	global_tree_background_records
USA__SAMN46491808	BG::SAMN46491808	global_background	USA	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1	MR-MT28-others	MR-MT28-others	TRUE	TRUE	TRUE	global_tree_background_records
CHN__SAMN32033997	CHN::SAMN32033997	focal	CHN	prepandemic	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN32034026	CHN::SAMN32034026	focal	CHN	pandemic	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN32034055	CHN::SAMN32034055	focal	CHN	pandemic	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN32034068	CHN::SAMN32034068	focal	CHN	pandemic	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN33268551	CHN::SAMN33268551	focal	CHN	pandemic	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN33268552	CHN::SAMN33268552	focal	CHN	prepandemic	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024023	CHN::SAMN43024023	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024024	CHN::SAMN43024024	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024025	CHN::SAMN43024025	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024027	CHN::SAMN43024027	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024031	CHN::SAMN43024031	focal	CHN	resurgence	L1_02.07	L1_02.07	Branch_IIb	ptxP3/fim3-1			FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024032	CHN::SAMN43024032	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN43024034	CHN::SAMN43024034	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583814	CHN::SAMN44583814	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583815	CHN::SAMN44583815	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583816	CHN::SAMN44583816	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583817	CHN::SAMN44583817	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583818	CHN::SAMN44583818	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583819	CHN::SAMN44583819	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583820	CHN::SAMN44583820	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583821	CHN::SAMN44583821	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583823	CHN::SAMN44583823	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583824	CHN::SAMN44583824	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583825	CHN::SAMN44583825	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583826	CHN::SAMN44583826	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583827	CHN::SAMN44583827	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583828	CHN::SAMN44583828	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583829	CHN::SAMN44583829	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583830	CHN::SAMN44583830	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583831	CHN::SAMN44583831	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583832	CHN::SAMN44583832	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583833	CHN::SAMN44583833	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583834	CHN::SAMN44583834	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
CHN__SAMN44583835	CHN::SAMN44583835	focal	CHN	resurgence	L1_02.07	L1_02.07					FALSE	TRUE	TRUE	transmission_genome_records
