tree_sample_id	primary_model_lineage_id	nearest_cgmlst_same_lineage	five_neighbour_same_lineage_fraction
AUS__SAMN45810633	L1_02.06	True	1.0
CHN__SAMN09947459	L1_02.06	True	1.0
CHN__SAMN09947460	L1_01.02	True	1.0
CHN__SAMN09947464	Other	True	1.0
CHN__SAMN09947467	Other	True	1.0
CHN__SAMN09947473	Other	True	1.0
CHN__SAMN09947475	Other	True	1.0
CHN__SAMN11295233	Other	True	1.0
CHN__SAMN07326325	Other	True	1.0
CHN__SAMN07329769	Other	True	1.0
BEL__SAMEA117989562	L1_02.06	True	1.0
CHN__SAMN07329777	L1_02.06	True	1.0
CHN__SAMN07329779	Other	True	1.0
CHN__SAMN07329785	L1_02.07	True	1.0
CHN__SAMN07329787	Other	True	1.0
CHN__SAMN09947486	Other	True	1.0
CHN__SAMN09947492	Other	True	1.0
CHN__SAMN09947493	Other	True	1.0
CHN__SAMN07329781	Other	True	1.0
CHN__SAMN07329782	Other	True	1.0
CHN__SAMN07329783	Other	True	1.0
CHN__SAMN07329789	Other	True	1.0
CHN__SAMN07329793	L1_02.06	True	1.0
CHN__SAMN07329790	Other	True	1.0
CHN__SAMN33268690	Other	True	1.0
CHN__SAMN33268689	L1_02.06	True	1.0
CHN__SAMN39683176	L1_02.06	True	1.0
CHN__SAMN39683174	L1_02.06	True	1.0
CHN__SAMN39682877	Other	True	1.0
CHN__SAMN39682878	Other	True	1.0
CHN__SAMN09941175	Other	True	1.0
CHN__SAMN17613197	Other	True	1.0
CHN__SAMN17613198	Other	True	1.0
CHN__SAMN22233915	Other	True	1.0
CHN__SAMN32033974	Other	True	1.0
CHN__SAMN22233924	L1_02.05	True	1.0
CHN__SAMN32033981	Other	True	1.0
CHN__SAMN33268552	L1_02.07	True	1.0
CHN__SAMN39682971	Other	True	1.0
CHN__SAMN39683227	L1_02.06	True	1.0
CHN__SAMN50151934	L1_02.06	True	1.0
CHN__SAMN50151935	Other	True	1.0
CHN__SAMN50151936	Other	True	1.0
CHN__SAMN50151937	Other	True	1.0
CHN__SAMN50151939	Other	True	1.0
CHN__SAMN50151940	L1_02.06	True	1.0
CHN__SAMN50151941	Other	True	1.0
CHN__SAMN50151942	Other	True	1.0
CHN__SAMN50151943	L1_02.06	True	1.0
CHN__SAMN50151944	L1_02.06	True	1.0
CHN__SAMN50151945	Other	True	1.0
CHN__SAMN50151946	Other	True	1.0
CHN__SAMN50151947	L1_02.06	True	1.0
CHN__SAMN50151948	Other	True	1.0
CHN__SAMN50151950	L1_02.06	True	1.0
CHN__SAMN50151951	L1_02.06	True	1.0
CHN__SAMN50151952	Other	True	1.0
CHN__SAMN50151953	Other	True	1.0
CHN__SAMN50151954	Other	True	1.0
CHN__SAMN50151938	Other	True	1.0
CHN__SAMN50151955	L1_02.07	True	1.0
CHN__SAMN50151956	L1_02.07	True	1.0
CHN__SAMN50151957	L1_02.06	True	1.0
CHN__SAMN22233918	Other	True	1.0
CHN__SAMN32033992	Other	True	1.0
CHN__SAMN22233923	Other	True	1.0
CHN__SAMN32033997	L1_02.07	True	1.0
CHN__SAMN39683486	Other	True	1.0
CHN__SAMN39683481	L1_02.07	True	1.0
CHN__SAMN50151949	Other	True	1.0
CHN__SAMN41373914	Other	True	1.0
CHN__SAMN41373916	Other	True	1.0
CHN__SAMN41373915	Other	True	1.0
CHN__SAMN41373917	Other	True	1.0
CHN__SAMN41373918	Other	True	1.0
CHN__SAMN41373919	Other	True	1.0
CHN__SAMN41373920	L1_02.06	True	1.0
CHN__SAMN41373921	Other	True	1.0
CHN__SAMN41373922	Other	True	1.0
CHN__SAMN41373923	L1_02.06	True	1.0
CHN__SAMN41373924	Other	True	1.0
CHN__SAMN41373925	Other	True	1.0
CHN__SAMN41373927	Other	True	1.0
CHN__SAMN41373928	Other	True	1.0
CHN__SAMN41373930	Other	True	1.0
CHN__SAMN41373931	Other	True	1.0
CHN__SAMN41373932	Other	True	1.0
CHN__SAMN41373933	Other	True	1.0
CHN__SAMN41373935	Other	True	1.0
CHN__SAMN41373936	Other	True	1.0
CHN__SAMN41373937	Other	True	1.0
CHN__SAMN41373938	Other	True	1.0
CHN__SAMN41373939	Other	True	1.0
CHN__SAMN41373940	Other	True	1.0
CHN__SAMN41373941	Other	True	1.0
CHN__SAMN41373942	Other	True	1.0
CHN__SAMN41373929	Other	True	1.0
CHN__SAMN41373943	Other	True	1.0
CHN__SAMN41373944	Other	True	1.0
CHN__SAMN41373945	Other	True	1.0
CHN__SAMN41373946	Other	True	1.0
CHN__SAMN41373934	Other	True	1.0
CHN__SAMN41373949	L1_02.06	True	1.0
CHN__SAMN41373950	Other	True	1.0
CHN__SAMN41373951	Other	True	1.0
CHN__SAMN41373952	Other	True	1.0
CHN__SAMN41373953	L1_02.06	True	1.0
CHN__SAMN41373954	Other	True	1.0
CHN__SAMN41373955	Other	True	1.0
CHN__SAMN41373956	Other	True	1.0
CHN__SAMN41373947	Other	True	1.0
CHN__SAMN41373948	Other	True	1.0
CHN__SAMN41373959	Other	True	1.0
CHN__SAMN41373960	Other	True	1.0
CHN__SAMN41373961	Other	True	1.0
CHN__SAMN41373962	Other	True	1.0
CHN__SAMN41373963	Other	True	1.0
CHN__SAMN41373964	Other	True	1.0
CHN__SAMN41373965	Other	True	1.0
CHN__SAMN41373966	Other	True	1.0
CHN__SAMN41373967	Other	True	1.0
CHN__SAMN41373968	Other	True	1.0
CHN__SAMN41373957	Other	True	1.0
CHN__SAMN41373969	Other	True	1.0
CHN__SAMN41373958	L1_02.06	True	1.0
CHN__SAMN41373970	Other	True	1.0
CHN__SAMN41373971	Other	True	1.0
CHN__SAMN41373972	Other	True	1.0
CHN__SAMN41373973	Other	True	1.0
CHN__SAMN41373974	Other	True	1.0
CHN__SAMN41373975	Other	True	1.0
CHN__SAMN50151958	L1_02.07	True	1.0
CHN__SAMN50151959	Other	True	1.0
CHN__SAMN50151961	L1_02.06	True	1.0
CHN__SAMN50151960	L1_02.06	True	1.0
CHN__SAMN50151962	L1_02.07	True	1.0
CHN__SAMN50151963	L1_02.07	True	1.0
CHN__SAMN50151964	L1_02.07	True	1.0
CHN__SAMN50151965	L1_02.07	True	1.0
CHN__SAMN50151966	L1_02.06	True	1.0
CHN__SAMN50151967	L1_02.06	True	1.0
CHN__SAMN50151968	Other	True	1.0
CHN__SAMN50151969	L1_02.06	True	1.0
CHN__SAMN50151970	L1_02.06	True	1.0
CHN__SAMN50151971	Other	True	1.0
CHN__SAMN50151972	Other	True	1.0
CHN__SAMN50151973	L1_02.06	True	1.0
CHN__SAMN50151974	Other	True	1.0
CHN__SAMN50151975	Other	True	1.0
CHN__SAMN50151976	Other	True	1.0
CHN__SAMN50151977	L1_02.07	True	1.0
CHN__SAMN50151978	Other	True	1.0
CHN__SAMN50151979	Other	True	1.0
CHN__SAMN50151980	Other	True	1.0
CHN__SAMN50151981	Other	True	1.0
CHN__SAMN50151982	Other	True	1.0
CHN__SAMN50151983	Other	True	1.0
CHN__SAMN41373926	L1_02.06	True	1.0
CHN__SAMN45156013	L1_02.07	True	1.0
CHN__SAMN32034035	L1_02.06	True	1.0
CHN__SAMN32034026	L1_02.07	True	1.0
CHN__SAMN39683296	L1_02.06	True	1.0
CHN__SAMN39683299	L1_02.06	True	1.0
CHN__SAMN42391089	Other	True	1.0
CHN__SAMN42391088	Other	True	1.0
CHN__SAMN42391090	Other	True	1.0
CHN__SAMN42391091	Other	True	1.0
CHN__SAMN42391092	Other	True	1.0
CHN__SAMN42391093	Other	True	1.0
CHN__SAMN42391096	Other	True	1.0
CHN__SAMN42391095	Other	True	1.0
CHN__SAMN42391099	Other	True	1.0
CHN__SAMN42391098	Other	True	1.0
CHN__SAMN42391105	Other	True	1.0
CHN__SAMN42391109	L1_02.06	True	1.0
CHN__SAMN42391108	Other	True	1.0
CHN__SAMN42391110	Other	True	1.0
CHN__SAMN42391112	Other	True	1.0
CHN__SAMN42391111	Other	True	1.0
CHN__SAMN42391113	Other	True	1.0
CHN__SAMN42391114	Other	True	1.0
CHN__SAMN42391115	L1_02.07	True	1.0
CHN__SAMN50151990	L1_02.07	True	1.0
CHN__SAMN50151991	L1_02.07	True	1.0
CHN__SAMN50151995	L1_02.07	True	1.0
CHN__SAMN50151998	L1_02.07	True	1.0
CHN__SAMN50152004	L1_02.07	True	1.0
CHN__SAMN42391107	Other	True	1.0
CHN__SAMN50152005	L1_02.07	True	1.0
CHN__SAMN50152007	L1_02.07	True	1.0
CHN__SAMN50152013	L1_02.07	True	1.0
CHN__SAMN32034055	L1_02.07	True	1.0
CHN__SAMN33268551	L1_02.07	True	1.0
CHN__SAMN39683369	L1_02.07	True	1.0
CHN__SAMN39683412	L1_02.07	True	1.0
CHN__SAMN42391094	Other	True	1.0
CHN__SAMN42391102	Other	True	1.0
CHN__SAMN42391103	L1_02.07	True	1.0
CHN__SAMN42391104	L1_02.07	True	1.0
CHN__SAMN42391106	Other	True	1.0
CHN__SAMN42391116	L1_02.07	True	1.0
CHN__SAMN42391100	Other	True	1.0
CHN__SAMN42391101	Other	True	1.0
CHN__SAMN42391118	L1_02.07	True	1.0
CHN__SAMN42391119	L1_02.07	True	1.0
CHN__SAMN42391120	Other	True	1.0
CHN__SAMN42391121	L1_02.07	True	1.0
CHN__SAMN42391122	L1_02.07	True	1.0
CHN__SAMN42391123	Other	True	1.0
CHN__SAMN32034068	L1_02.07	True	1.0
CHN__SAMN42391124	L1_02.07	True	1.0
CHN__SAMN42391125	Other	True	1.0
CHN__SAMN42391126	L1_02.07	True	1.0
CHN__SAMN42391127	Other	True	1.0
CHN__SAMN42391129	L1_02.07	True	1.0
CHN__SAMN42391128	L1_02.07	True	1.0
CHN__SAMN42391130	L1_02.07	True	1.0
CHN__SAMN42391131	L1_02.07	True	1.0
CHN__SAMN42391132	L1_02.07	True	1.0
CHN__SAMN42391117	Other	True	1.0
CHN__SAMN45156014	Other	True	1.0
CHN__SAMN45156015	L1_02.06	True	1.0
CHN__SAMN45156019	L1_02.07	True	1.0
CHN__SAMN45156016	L1_02.06	True	1.0
CHN__SAMN45156020	L1_02.07	True	1.0
CHN__SAMN45156021	L1_02.07	True	1.0
CHN__SAMN45156022	Other	True	1.0
CHN__SAMN50152020	L1_02.07	True	1.0
CHN__SAMN50152021	L1_02.07	True	1.0
CHN__SAMN50152026	L1_02.07	True	1.0
CHN__SAMN50152028	L1_02.07	True	1.0
CHN__SAMN50152036	L1_02.07	True	1.0
CHN__SAMN50152040	L1_02.07	True	1.0
CHN__SAMN50152043	L1_02.07	True	1.0
CHN__SAMN39683154	Other	True	1.0
CHN__SAMN39683447	L1_02.07	True	1.0
CHN__SAMN42391133	L1_02.07	True	1.0
CHN__SAMN42391134	L1_02.07	True	1.0
CHN__SAMN42391135	L1_02.07	True	1.0
CHN__SAMN42391136	L1_02.07	True	1.0
CHN__SAMN42391137	L1_02.07	True	1.0
CHN__SAMN42391138	L1_02.07	True	1.0
CHN__SAMN42391139	L1_02.07	True	1.0
CHN__SAMN42391140	L1_02.07	True	1.0
CHN__SAMN42391141	L1_02.07	True	1.0
CHN__SAMN42391142	L1_02.07	True	1.0
CHN__SAMN42391143	L1_02.07	True	1.0
CHN__SAMN42391144	L1_02.07	True	1.0
CHN__SAMN42391145	L1_02.07	True	1.0
CHN__SAMN50152031	L1_02.07	True	1.0
CHN__SAMN42391146	L1_02.07	True	1.0
CHN__SAMN42391147	L1_02.07	True	1.0
CHN__SAMN42391148	L1_02.07	True	1.0
CHN__SAMN42391149	L1_02.07	True	1.0
CHN__SAMN44583814	L1_02.07	True	1.0
CHN__SAMN44583815	L1_02.07	True	1.0
CHN__SAMN44583816	L1_02.07	True	1.0
CHN__SAMN44583818	L1_02.07	True	1.0
CHN__SAMN44583817	L1_02.07	True	1.0
CHN__SAMN44583819	L1_02.07	True	1.0
CHN__SAMN44583821	L1_02.07	True	1.0
CHN__SAMN44583820	L1_02.07	True	1.0
CHN__SAMN44583822	L1_02.06	True	1.0
CHN__SAMN44583823	L1_02.07	True	1.0
CHN__SAMN44583824	L1_02.07	True	1.0
CHN__SAMN44583825	L1_02.07	True	1.0
CHN__SAMN44583826	L1_02.07	True	1.0
CHN__SAMN44583827	L1_02.07	True	1.0
CHN__SAMN42391150	L1_02.07	True	1.0
CHN__SAMN44583828	L1_02.07	True	1.0
CHN__SAMN44583829	L1_02.07	True	1.0
CHN__SAMN44583830	L1_02.07	True	1.0
CHN__SAMN44583831	L1_02.07	True	1.0
CHN__SAMN44583832	L1_02.07	True	1.0
CHN__SAMN45156018	L1_02.07	True	1.0
CHN__SAMN45156024	L1_02.07	True	1.0
CHN__SAMN45156026	L1_02.06	True	1.0
CHN__SAMN45156025	L1_02.06	True	1.0
CHN__SAMN45156027	L1_02.07	True	1.0
CHN__SAMN45156028	L1_02.07	True	1.0
CHN__SAMN45156030	L1_02.07	True	1.0
CHN__SAMN50152046	L1_02.07	True	1.0
CHN__SAMN50152047	L1_02.07	True	1.0
CHN__SAMN50152049	L1_02.07	True	1.0
CHN__SAMN50152051	L1_02.07	True	1.0
CHN__SAMN50152053	L1_02.07	True	1.0
CHN__SAMN50152054	L1_02.07	True	1.0
CHN__SAMN50152056	L1_02.07	True	1.0
CHN__SAMN40924133	L1_02.07	True	1.0
CHN__SAMN40924154	L1_02.07	True	1.0
CHN__SAMN43024010	L1_02.07	True	1.0
CHN__SAMN43024011	L1_02.07	True	1.0
CHN__SAMN43024012	L1_02.07	True	1.0
CHN__SAMN43024013	L1_02.07	True	1.0
CHN__SAMN43024014	L1_02.07	True	1.0
CHN__SAMN43024015	L1_02.07	True	1.0
CHN__SAMN43024016	L1_02.07	True	1.0
CHN__SAMN43024017	L1_02.07	True	1.0
CHN__SAMN43024018	L1_02.07	True	1.0
CHN__SAMN43024019	L1_02.07	True	1.0
CHN__SAMN43024020	L1_02.07	True	1.0
CHN__SAMN43024021	L1_02.07	True	1.0
CHN__SAMN43024023	L1_02.07	True	1.0
CHN__SAMN43024024	L1_02.07	True	1.0
CHN__SAMN43024025	L1_02.07	True	1.0
CHN__SAMN43024027	L1_02.07	True	1.0
CHN__SAMN50152052	L1_02.07	True	1.0
CHN__SAMN43024031	L1_02.07	True	1.0
CHN__SAMN43024032	L1_02.07	True	1.0
CHN__SAMN43024034	L1_02.07	True	1.0
CHN__SAMN44583833	L1_02.07	True	1.0
CHN__SAMN44583835	L1_02.07	True	1.0
CHN__SAMN44583837	L1_02.07	True	1.0
CHN__SAMN44583838	L1_02.07	True	1.0
CHN__SAMN44583839	L1_02.07	True	1.0
CHN__SAMN44583840	L1_02.07	True	1.0
CHN__SAMN44583843	L1_02.07	True	1.0
CHN__SAMN44583845	L1_02.07	True	1.0
CHN__SAMN44583846	L1_02.07	True	1.0
CHN__SAMN44583859	L1_02.07	True	1.0
CHN__SAMN44583863	L1_02.07	True	1.0
CHN__SAMN44583870	L1_02.07	True	1.0
CHN__SAMN44583871	L1_02.07	True	1.0
CHN__SAMN44583872	L1_02.07	True	1.0
CHN__SAMN44583886	L1_02.07	True	1.0
CHN__SAMN44583912	L1_02.07	True	1.0
CHN__SAMN44583924	L1_02.07	True	1.0
CHN__SAMN44583927	L1_02.07	True	1.0
CHN__SAMN44583834	L1_02.07	True	1.0
CHN__SAMN44583945	L1_02.07	True	1.0
CHN__SAMN44583946	L1_02.07	True	1.0
CHN__SAMN44583959	L1_02.07	True	1.0
CHN__SAMN44583972	L1_02.07	True	1.0
CHN__SAMN44584005	L1_02.07	True	1.0
CHN__SAMN44584012	L1_02.07	True	1.0
CHN__SAMN44584026	L1_02.07	True	1.0
CHN__SAMN44584033	L1_02.07	True	1.0
CHN__SAMN44583865	L1_02.07	True	1.0
CHN__SAMN44584040	L1_02.07	True	1.0
CHN__SAMN44584044	L1_02.07	True	1.0
CHN__SAMN44584068	L1_02.07	True	1.0
CHN__SAMN44584067	L1_02.07	True	1.0
CHN__SAMN44584073	L1_02.07	True	1.0
CHN__SAMN44584075	L1_02.07	True	1.0
CHN__SAMN44584082	L1_02.07	True	1.0
CHN__SAMN44584094	L1_02.07	True	1.0
CHN__SAMN44584104	L1_02.07	True	1.0
CHN__SAMN44584022	L1_02.07	True	1.0
CHN__SAMN44590209	L1_02.07	True	1.0
CHN__SAMN44590214	L1_02.07	True	1.0
CHN__SAMN44590219	L1_02.07	True	1.0
CHN__SAMN44590224	L1_02.07	True	1.0
CHN__SAMN44584039	L1_02.07	True	1.0
CHN__SAMN44590233	L1_02.07	True	1.0
CHN__SAMN44590238	L1_02.07	True	1.0
CHN__SAMN44590252	L1_02.07	True	1.0
CHN__SAMN44590257	L1_02.07	True	1.0
CHN__SAMN44590261	L1_02.07	True	1.0
CHN__SAMN44590268	L1_02.07	True	1.0
CHN__SAMN44590265	L1_02.07	True	1.0
CHN__SAMN44590275	L1_02.07	True	1.0
CHN__SAMN44590282	L1_02.07	True	1.0
CHN__SAMN44590283	L1_02.07	True	1.0
CHN__SAMN44590291	L1_02.07	True	1.0
CHN__SAMN44590292	L1_02.07	True	1.0
CHN__SAMN44590294	L1_02.07	True	1.0
CHN__SAMN44590295	L1_02.07	True	1.0
CHN__SAMN44590307	L1_02.07	True	1.0
CHN__SAMN44590310	L1_02.07	True	1.0
CHN__SAMN44590311	L1_02.07	True	1.0
CHN__SAMN44590312	L1_02.07	True	1.0
CHN__SAMN44590242	L1_02.07	True	1.0
CHN__SAMN44590314	L1_02.07	True	1.0
CHN__SAMN45156031	L1_02.07	True	1.0
CHN__SAMN45156034	L1_02.07	True	1.0
CHN__SAMN45156054	L1_02.07	True	1.0
CHN__SAMN45156057	L1_02.07	True	1.0
CHN__SAMN44590276	L1_02.07	True	1.0
CHN__SAMN45156063	L1_02.07	True	1.0
CHN__SAMN45156066	L1_02.07	True	1.0
CHN__SAMN50152057	L1_02.07	True	1.0
CHN__SAMN50152066	L1_02.06	True	1.0
CHN__SAMN50152059	L1_02.07	True	1.0
CHN__SAMN50152069	L1_02.07	True	1.0
CHN__SAMN50152080	L1_02.07	True	1.0
CHN__SAMN50152092	L1_02.07	True	1.0
CHN__SAMN50152085	L1_02.07	True	1.0
CHN__SAMN50152101	L1_02.07	True	1.0
FRA__SAMEA751372	L1_02.05	True	1.0
FRA__SAMN03366100	L1_02.05	True	1.0
FRA__SAMN03491902	L1_02.05	True	1.0
FRA__SAMN03491903	L1_02.05	True	1.0
FRA__SAMEA4700352	L1_02.06	True	1.0
FRA__SAMN09862835	L1_02.06	True	1.0
FRA__SAMEA115874185	L1_02.06	True	1.0
FRA__SAMEA115874190	L1_02.06	True	1.0
FRA__SAMEA115874198	L1_02.06	True	1.0
FRA__SAMEA115874201	L1_02.06	True	1.0
FRA__SAMEA115874203	L1_02.06	True	1.0
FRA__SAMEA115874212	L1_02.06	True	1.0
FRA__SAMEA115874213	L1_01.02	True	1.0
FRA__SAMEA115874215	L1_02.06	True	1.0
FRA__SAMEA115874216	L1_01.02	True	1.0
FRA__SAMEA115874219	L1_02.06	True	1.0
FRA__SAMEA115874226	L1_01.02	True	1.0
FRA__SAMEA115874228	L1_02.06	True	1.0
FRA__SAMEA115874229	L1_02.06	True	1.0
FRA__SAMEA115874235	L1_02.05	True	1.0
FRA__SAMEA115874241	L1_02.06	True	1.0
FRA__SAMEA115874242	L1_02.06	True	1.0
FRA__SAMEA115874248	L1_02.05	True	1.0
FRA__SAMEA117615782	L1_02.06	True	1.0
FRA__SAMEA117615783	L1_02.06	True	1.0
FRA__SAMEA117615784	L1_02.07	True	1.0
FRA__SAMEA117615785	L1_02.06	True	1.0
FRA__SAMEA117615786	L1_01.02	True	1.0
FRA__SAMN42490576	L1_02.06	True	1.0
JPN__SAMN04875532	Other	True	1.0
JPN__SAMN03249374	Other	True	1.0
JPN__SAMN09862822	Other	True	1.0
FRA__SAMEA115874211	L1_02.05	True	1.0
JPN__SAMEA41263168	Other	True	1.0
JPN__SAMEA41187418	Other	True	1.0
JPN__SAMEA41296918	Other	True	1.0
JPN__SAMEA41211418	Other	True	1.0
JPN__SAMEA41286418	Other	True	1.0
JPN__SAMEA41226418	Other	False	0.8
JPN__SAMEA751448	Other	True	1.0
JPN__SAMEA41241418	L1_02.05	True	1.0
JPN__SAMEA41188918	L1_02.05	True	1.0
JPN__SAMEA41249668	L1_02.05	True	1.0
JPN__SAMEA41194168	L1_02.05	True	0.6
JPN__SAMEA751489	Other	True	1.0
JPN__SAMEA41218168	Other	True	1.0
JPN__SAMEA41214418	L1_02.06	False	0.4
JPN__SAMD00570793	L1_02.05	True	1.0
JPN__SAMEA41218918	Other	True	1.0
JPN__SAMEA41224918	Other	True	1.0
JPN__SAMEA751127	Other	True	1.0
JPN__SAMEA41231668	L1_02.05	True	1.0
JPN__SAMEA41242918	L1_02.05	True	0.6
JPN__SAMEA41240668	L1_02.05	True	1.0
JPN__SAMEA41307418	Other	True	1.0
JPN__SAMEA41297668	Other	True	1.0
JPN__SAMD00328188	L1_02.06	True	0.6
JPN__SAMD00328195	L1_02.06	True	0.6
JPN__SAMEA41257168	L1_02.06	True	0.6
JPN__SAMD00328201	L1_02.06	True	1.0
JPN__SAMEA41323168	L1_02.06	True	1.0
JPN__SAMEA41264668	L1_02.05	True	1.0
JPN__SAMD00549631	Other	True	1.0
JPN__SAMD00549621	L1_02.06	True	1.0
JPN__SAMEA41227918	L1_02.05	True	0.6
JPN__SAMD00328237	Other	True	1.0
JPN__SAMD00549575	Other	True	1.0
JPN__SAMD00549636	L1_02.06	True	1.0
JPN__SAMD00872997	L1_02.06	True	1.0
JPN__SAMD00570813	L1_02.06	True	1.0
JPN__SAMD00885979	L1_02.07	True	1.0
JPN__SAMD00885980	L1_02.07	True	1.0
JPN__SAMD00892034	L1_02.07	True	1.0
JPN__SAMD00920274	L1_02.05	True	1.0
JPN__SAMD00920279	L1_02.07	True	1.0
JPN__SAMD01593369	L1_02.07	True	1.0
JPN__SAMD01593370	L1_02.07	True	1.0
JPN__SAMD01593371	L1_02.07	True	1.0
JPN__SAMD01593372	L1_01.02	True	1.0
JPN__SAMD01593373	L1_02.07	True	1.0
JPN__SAMD01593374	L1_02.07	True	1.0
JPN__SAMD00892036	L1_02.07	True	1.0
JPN__SAMD00892038	L1_02.06	True	1.0
JPN__SAMD00892039	L1_02.07	True	1.0
JPN__SAMD00892040	L1_02.07	True	1.0
JPN__SAMEA41239918	L1_02.05	True	1.0
JPN__SAMD00892042	L1_02.07	True	1.0
JPN__SAMD00892046	L1_02.07	True	1.0
JPN__SAMD00892047	L1_02.07	True	1.0
JPN__SAMD00892048	L1_02.07	True	1.0
JPN__SAMD00892049	L1_02.07	True	1.0
JPN__SAMD00892050	L1_02.07	True	1.0
JPN__SAMD00892052	L1_02.07	True	1.0
JPN__SAMD00892053	L1_02.07	True	1.0
JPN__SAMD01593375	L1_02.07	True	1.0
JPN__SAMD00892035	L1_02.07	True	1.0
JPN__SAMD01593376	L1_02.07	True	1.0
JPN__SAMD01697901	L1_02.07	True	1.0
JPN__SAMD01697899	L1_02.07	True	1.0
JPN__SAMD01697903	L1_02.07	True	1.0
JPN__SAMD01697909	L1_02.07	True	1.0
JPN__SAMD01697907	L1_02.07	True	1.0
JPN__SAMD01697911	L1_02.07	True	1.0
JPN__SAMD00892045	L1_02.07	True	1.0
JPN__SAMD01697915	L1_02.07	True	1.0
JPN__SAMD01697913	L1_02.07	True	1.0
JPN__SAMD01697916	L1_02.07	True	1.0
JPN__SAMD01697917	L1_02.07	True	1.0
JPN__SAMD01697919	L1_02.06	True	1.0
JPN__SAMD01697918	L1_02.07	True	1.0
JPN__SAMD01697920	L1_02.07	True	1.0
JPN__SAMD01797763	L1_02.07	True	1.0
