tree_sample_id	level 1	level 2	tree_role	country_iso3	date_lower	date_upper	date_resolution	year	month	epidemic_period	project_id	preliminary_lineage_id	model_lineage_id	model_sublineage_id	lineage_definition_method	lineage_definition_seed	lineage_definition_n_pops
AUS__SAMN08443709	2	6	focal	AUS	2013-01-01	2013-12-31	year	2013		prepandemic	PRJNA432286	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN08443715	1	2	focal	AUS	2013-01-01	2013-12-31	year	2013		prepandemic	PRJNA432286	ptxP1/fim3-4	L1_01	L1_01.02	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN07235949	2	6	focal	AUS	2014-03-07	2014-03-07	day	2014	3	prepandemic	PRJNA390469	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN08443734	2	6	focal	AUS	2014-01-01	2014-12-31	year	2014		prepandemic	PRJNA432286	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN08443746	2	6	focal	AUS	2014-01-01	2014-12-31	year	2014		prepandemic	PRJNA432286	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN08443742	2	6	focal	AUS	2015-01-01	2015-12-31	year	2015		prepandemic	PRJNA432286	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN08443767	2	6	focal	AUS	2015-01-01	2015-12-31	year	2015		prepandemic	PRJNA432286	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN18200431	1	2	focal	AUS	2015-01-01	2015-12-31	year	2015		prepandemic	PRJNA695314	ptxP1/fim3-4	L1_01	L1_01.02	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN08443771	2	6	focal	AUS	2016-01-01	2016-12-31	year	2016		prepandemic	PRJNA432286	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN08443772	2	6	focal	AUS	2016-01-01	2016-12-31	year	2016		prepandemic	PRJNA432286	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810538	2	6	focal	AUS	2016-01-01	2016-01-31	month	2016	1	prepandemic	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810571	2	6	focal	AUS	2016-01-01	2016-01-31	month	2016	1	prepandemic	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810572	2	6	focal	AUS	2016-02-01	2016-02-29	month	2016	2	prepandemic	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810573	2	6	focal	AUS	2016-02-01	2016-02-29	month	2016	2	prepandemic	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810574	2	6	focal	AUS	2016-04-01	2016-04-30	month	2016	4	prepandemic	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN08443778	2	6	focal	AUS	2017-01-01	2017-12-31	year	2017		prepandemic	PRJNA432286	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN08443780	2	6	focal	AUS	2017-01-01	2017-12-31	year	2017		prepandemic	PRJNA432286	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810527	2	6	focal	AUS	2018-07-01	2018-07-31	month	2018	7	prepandemic	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810539	2	6	focal	AUS	2018-10-01	2018-10-31	month	2018	10	prepandemic	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810547	2	6	focal	AUS	2019-01-01	2019-01-31	month	2019	1	prepandemic	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810575	2	6	focal	AUS	2019-03-01	2019-03-31	month	2019	3	prepandemic	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810511	2	6	focal	AUS	2023-09-01	2023-09-30	month	2023	9	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN44480251	2	7	focal	AUS	2024-08-01	2024-08-31	month	2024	8	resurgence	PRJNA1178746	ptxP3/fim3-1	L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN44480252	2	7	focal	AUS	2024-08-01	2024-08-31	month	2024	8	resurgence	PRJNA1178746	ptxP3/fim3-1	L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810503	2	5	focal	AUS	2024-02-01	2024-02-29	month	2024	2	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810504	2	5	focal	AUS	2024-06-01	2024-06-30	month	2024	6	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810513	2	6	focal	AUS	2024-01-01	2024-01-31	month	2024	1	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810536	2	6	focal	AUS	2024-06-01	2024-06-30	month	2024	6	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810543	2	5	focal	AUS	2024-01-01	2024-01-31	month	2024	1	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810549	2	6	focal	AUS	2024-05-01	2024-05-31	month	2024	5	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810556	1	2	focal	AUS	2024-07-01	2024-07-31	month	2024	7	resurgence	PRJNA1199062	ptxP1/fim3-26	L1_01	L1_01.02	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810557	2	5	focal	AUS	2024-07-01	2024-07-31	month	2024	7	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810558	2	5	focal	AUS	2024-01-01	2024-01-31	month	2024	1	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810562	2	5	focal	AUS	2024-07-01	2024-07-31	month	2024	7	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810564	2	6	focal	AUS	2024-07-01	2024-07-31	month	2024	7	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810580	2	6	focal	AUS	2024-05-01	2024-05-31	month	2024	5	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810582	1	2	focal	AUS	2024-05-01	2024-05-31	month	2024	5	resurgence	PRJNA1199062	ptxP(~5)/fim3-26	L1_01	L1_01.02	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810584	2	7	focal	AUS	2024-08-01	2024-08-31	month	2024	8	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810594	2	6	focal	AUS	2024-09-01	2024-09-30	month	2024	9	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810596	2	5	focal	AUS	2024-08-01	2024-08-31	month	2024	8	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810598	2	5	focal	AUS	2024-08-01	2024-08-31	month	2024	8	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810606	2	5	focal	AUS	2024-09-01	2024-09-30	month	2024	9	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810610	2	5	focal	AUS	2024-09-01	2024-09-30	month	2024	9	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810611	1	2	focal	AUS	2024-09-01	2024-09-30	month	2024	9	resurgence	PRJNA1199062	ptxP1/fim3-26	L1_01	L1_01.02	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810627	2	6	focal	AUS	2024-10-01	2024-10-31	month	2024	10	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810630	2	5	focal	AUS	2024-10-01	2024-10-31	month	2024	10	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810633	2	6	focal	AUS	2024-10-01	2024-10-31	month	2024	10	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810634	2	5	focal	AUS	2024-10-01	2024-10-31	month	2024	10	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810638	2	5	focal	AUS	2024-10-01	2024-10-31	month	2024	10	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810640	2	5	focal	AUS	2024-09-01	2024-09-30	month	2024	9	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810642	2	6	focal	AUS	2024-09-01	2024-09-30	month	2024	9	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810643	2	5	focal	AUS	2024-09-01	2024-09-30	month	2024	9	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810645	2	6	focal	AUS	2024-10-01	2024-10-31	month	2024	10	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45810646	2	5	focal	AUS	2024-10-01	2024-10-31	month	2024	10	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45811366	2	5	focal	AUS	2024-07-01	2024-07-31	month	2024	7	resurgence	PRJNA1199062	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45811367	2	6	focal	AUS	2024-07-01	2024-07-31	month	2024	7	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45811368	2	6	focal	AUS	2024-06-01	2024-06-30	month	2024	6	resurgence	PRJNA1199062	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
AUS__SAMN45811371	1	2	focal	AUS	2024-06-01	2024-06-30	month	2024	6	resurgence	PRJNA1199062	ptxP1/fim3-26	L1_01	L1_01.02	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989203	2	6	focal	BEL	2014-01-30	2014-01-30	day	2014	1	prepandemic	PRJEB88325	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989205	2	6	focal	BEL	2014-06-27	2014-06-27	day	2014	6	prepandemic	PRJEB88325		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989208	2	6	focal	BEL	2014-07-30	2014-07-30	day	2014	7	prepandemic	PRJEB88325	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989209	2	6	focal	BEL	2014-08-01	2014-08-01	day	2014	8	prepandemic	PRJEB88325	United States Sublineage 1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989211	2	6	focal	BEL	2014-09-04	2014-09-04	day	2014	9	prepandemic	PRJEB88325	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989214	2	5	focal	BEL	2014-12-20	2014-12-20	day	2014	12	prepandemic	PRJEB88325	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989221	1	2	focal	BEL	2015-05-04	2015-05-04	day	2015	5	prepandemic	PRJEB88325	others	L1_01	L1_01.02	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989226	2	7	focal	BEL	2015-12-21	2015-12-21	day	2015	12	prepandemic	PRJEB88325	MS-MT28	L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989252	2	6	focal	BEL	2017-04-18	2017-04-18	day	2017	4	prepandemic	PRJEB88325		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989259	2	7	focal	BEL	2017-05-05	2017-05-05	day	2017	5	prepandemic	PRJEB88325	MS-MT28	L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989272	2	6	focal	BEL	2017-06-16	2017-06-16	day	2017	6	prepandemic	PRJEB88325	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989286	2	6	focal	BEL	2017-07-25	2017-07-25	day	2017	7	prepandemic	PRJEB88325	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989308	2	7	focal	BEL	2017-09-06	2017-09-06	day	2017	9	prepandemic	PRJEB88325	MS-MT28	L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989309	2	5	focal	BEL	2017-09-06	2017-09-06	day	2017	9	prepandemic	PRJEB88325		L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989353	2	5	focal	BEL	2018-03-26	2018-03-26	day	2018	3	prepandemic	PRJEB88325	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989425	2	5	focal	BEL	2018-10-09	2018-10-09	day	2018	10	prepandemic	PRJEB88325	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989434	2	6	focal	BEL	2018-12-12	2018-12-12	day	2018	12	prepandemic	PRJEB88325	United States Sublineage 1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989436	2	5	focal	BEL	2019-01-15	2019-01-15	day	2019	1	prepandemic	PRJEB88325		L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989467	2	6	focal	BEL	2019-04-24	2019-04-24	day	2019	4	prepandemic	PRJEB88325	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989479	2	5	focal	BEL	2019-07-24	2019-07-24	day	2019	7	prepandemic	PRJEB88325	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989511	2	6	focal	BEL	2020-01-13	2020-01-13	day	2020	1	pandemic	PRJEB88325	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989512	2	5	focal	BEL	2020-01-15	2020-01-15	day	2020	1	pandemic	PRJEB88325	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989513	2	7	focal	BEL	2020-01-24	2020-01-24	day	2020	1	pandemic	PRJEB88325	MS-MT28	L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989514	2	5	focal	BEL	2020-02-21	2020-02-21	day	2020	2	pandemic	PRJEB88325	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989515	2	5	focal	BEL	2020-03-05	2020-03-05	day	2020	3	pandemic	PRJEB88325	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989516	2	5	focal	BEL	2020-03-13	2020-03-13	day	2020	3	pandemic	PRJEB88325	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989517	2	6	focal	BEL	2020-03-16	2020-03-16	day	2020	3	pandemic	PRJEB88325	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989518	2	5	focal	BEL	2020-03-16	2020-03-16	day	2020	3	pandemic	PRJEB88325	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
BEL__SAMEA117989519	2	5	focal	BEL	2020-03-23	2020-03-23	day	2020	3	pandemic	PRJEB88325	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
